"icpsr","name","birthyear","gender"
"15014","BURTON, D. L.","1938","M"
"15019","COOPER, J. J.","1954","M"
"15023","EVANS, L. A.","1951","M"
"15028","JOHNSON, N. L.","1935","F"
"15029","KAPTUR, M. C.","1946","F"
"15033","LEVIN, S. M.","1931","M"
"15036","LIPINSKI, W. O.","1937","M"
"15049","ORTIZ, S. P.","1937","M"
"15050","OWENS, M. R.","1936","M"
"15064","SPRATT, J. M.","1942","M"
"15072","TOWNS, E. A.","1934","M"
"15082","KLECZKA, G. D.","1943","M"
"15083","MOLLOHAN, A. B.","1943","M"
"15085","BARTON, J. L.","1949","M"
"15092","COBLE, H. G.","1931","M"
"15093","COMBEST, L. A.","1945","M"
"15094","DELAY, T. D.","1947","M"
"15100","GRIFFITH, P. J.","1942","M"
"15104","KANJORSKI, P. E.","1937","M"
"15105","KOLBE, J. T.","1942","M"
"15112","SAXTON, H. J.","1943","M"
"15124","VISCLOSKY, P. J.","1949","M"
"15245","ABERCROMBIE, N. J.","1938","M"
"15401","BAKER, R. H.","1948","M"
"15402","BALLENGER, C. W.","1926","M"
"15408","CARDIN, B. L.","1943","M"
"15410","DEFAZIO, P. A.","1947","M"
"15413","GALLEGLY, E. W.","1944","M"
"15417","HASTERT, J. D.","1942","M"
"15419","HEFLEY, J. D.","1935","M"
"15420","HERGER, W. A.","1945","M"
"15423","HOUGHTON, A. M.","1926","M"
"15431","LEWIS, J. R.","1940","M"
"15433","KELLY, M. P.","1964","M"
"15438","PRICE, D. E.","1940","M"
"15444","SLAUGHTER, L. M.","1929","F"
"15445","SMITH, L. S.","1947","M"
"15446","UPTON, F. S.","1953","M"
"15447","WELDON, W. C.","1947","M"
"15448","PELOSI, N. J.","1940","F"
"15449","SHAYS, C. H.","1945","M"
"15451","MCCRERY, J. O.","1949","M"
"15453","COSTELLO, J. F.","1949","M"
"15454","PALLONE, F. J.","1951","M"
"15455","DUNCAN, J. J.","1947","M"
"15601","COX, C. C.","1952","M"
"15603","ENGEL, E. L.","1947","M"
"15604","GILLMOR, P. E.","1939","M"
"15605","GOSS, P. J.","1938","M"
"15612","LOWEY, N. M.","1937","F"
"15613","MCDERMOTT, J. A.","1936","M"
"15614","MCNULTY, M. R.","1947","M"
"15616","NORTON, E. H.","1937","F"
"15619","PAYNE, D. M.","1934","M"
"15621","ROHRABACHER, D. T.","1947","M"
"15627","STEARNS, C. B.","1941","M"
"15628","TANNER, J. S.","1944","M"
"15630","WALSH, J. T.","1947","M"
"15634","ROS-LEHTINEN, I. J.","1952","F"
"15637","TAYLOR, G. O.","1953","M"
"20100","FLAKE, J. M.","1962","M"
"20101","BOOZMAN, J. W.","1950","M"
"20102","ROSS, M. R.","1961","M"
"20103","HONDA, M. M.","1941","M"
"20104","SCHIFF, A. B.","1960","M"
"20105","SOLIS, H. L.","1957","F"
"20106","WATSON, D. E.","1933","F"
"20107","ISSA, D. E.","1953","M"
"20108","DAVIS, S. A.","1944","F"
"20109","SIMMONS, R. R.","1943","M"
"20110","MILLER, J. L.","1959","M"
"20111","CRENSHAW, A. C.","1944","M"
"20112","KELLER, R. T.","1964","M"
"20113","PUTNAM, A. H.","1974","M"
"20114","OTTER, C. W.","1942","M"
"20115","KIRK, M. S.","1959","M"
"20116","JOHNSON, T. V.","1946","M"
"20117","PENCE, M. E.","1959","M"
"20119","LYNCH, S. F.","1955","M"
"20120","ROGERS, M. J.","1963","M"
"20121","KENNEDY, M. R.","1957","M"
"20122","MCCOLLUM, B. L.","1954","F"
"20123","AKIN, W. T.","1947","M"
"20124","GRAVES, S. B.","1963","M"
"20125","REHBERG, D. R.","1955","M"
"20126","OSBORNE, T. W.","1937","M"
"20127","FORTUÃ±O, L. G.","1960","M"
"20129","ISRAEL, S. J.","1958","M"
"20130","TIBERI, P. J.","1962","M"
"20131","SULLIVAN, J. A.","1965","M"
"20132","CARSON, B. K.","1967","M"
"20133","HART, M. A.","1962","F"
"20134","SHUSTER, B. D.","1961","M"
"20135","PLATTS, T. R.","1962","M"
"20136","LANGEVIN, J. R.","1964","M"
"20137","BROWN, H. E.","1935","M"
"20138","WILSON, J. G.","1947","M"
"20139","CULBERSON, J. A.","1956","M"
"20140","MATHESON, J. P.","1960","M"
"20141","DAVIS, J. S.","1950","F"
"20142","SCHROCK, E. L.","1941","M"
"20143","FORBES, J. R.","1952","M"
"20144","CANTOR, E. I.","1963","M"
"20145","LARSEN, R. R.","1965","M"
"20146","CAPITO, S. M.","1953","F"
"20147","CLAY, W. L.","1956","M"
"20300","BONNER, J. R.","1959","M"
"20301","ROGERS, M. C.","1958","M"
"20302","DAVIS, A. A.","1967","M"
"20303","RENZI, R. M.","1958","M"
"20304","FRANKS, T. B.","1957","M"
"20305","GRIJALVA, R. M.","1948","M"
"20306","CARDOZA, D. A.","1959","M"
"20307","NUNES, D. G.","1973","M"
"20310","SÃ¡NCHEZ, L. T.","1969","F"
"20311","MUSGRAVE, M. N.","1949","F"
"20312","BEAUPREZ, B. W.","1948","M"
"20313","BROWN-WAITE, V. E.","1943","F"
"20314","HARRIS, K. W.","1957","F"
"20315","FEENEY, T. C.","1958","M"
"20316","DIAZ-BALART, M. L.","1961","M"
"20317","MARSHALL, J. M.","1948","M"
"20318","MAJETTE, D. R.","1955","F"
"20319","GINGREY, P. F.","1942","M"
"20320","BURNS, M. K.","1948","M"
"20321","SCOTT, D. E.","1945","M"
"20322","CASE, E. G.","1952","M"
"20323","EMANUEL, R. D.","1959","M"
"20324","CHOCOLA, C. D.","1962","M"
"20325","KING, S. A.","1949","M"
"20326","CHANDLER, B. L.","1959","M"
"20328","MICHAUD, M. H.","1955","M"
"20329","SABLAN, G. K.","1955","M"
"20330","VAN HOLLEN, C. R.","1959","M"
"20331","MILLER, C. S.","1954","F"
"20332","MCCOTTER, T. G.","1965","M"
"20333","KLINE, J. P.","1947","M"
"20334","PORTER, J. C.","1955","M"
"20335","BRADLEY, J. E.","1952","M"
"20336","GARRETT, S. R.","1959","M"
"20337","PEARCE, S. E.","1947","M"
"20338","BISHOP, T. H.","1950","M"
"20339","BALLANCE, F. W.","1942","M"
"20340","BUTTERFIELD, G. K.","1947","M"
"20341","MILLER, R. B.","1953","M"
"20342","TURNER, M. R.","1960","M"
"20343","RYAN, T. J.","1973","M"
"20344","COLE, T. E.","1949","M"
"20345","GERLACH, J. F.","1955","M"
"20346","MURPHY, T. B.","1952","M"
"20347","BARRETT, J. G.","1961","M"
"20348","JANKLOW, W. J.","1939","M"
"20349","HERSETH SANDLIN, S. L.","1970","F"
"20350","DAVIS, L. A.","1943","M"
"20351","BLACKBURN, M. W.","1952","F"
"20352","HENSARLING, J. V.","1957","M"
"20353","NEUGEBAUER, R. L.","1949","M"
"20354","BELL, C. W.","1959","M"
"20355","BURGESS, M. C.","1950","M"
"20356","CARTER, J. R.","1941","M"
"20357","BISHOP, R. S.","1951","M"
"20358","MEEK, K. B.","1966","M"
"20501","COSTA, J. E.","1952","M"
"20502","SALAZAR, J. T.","1953","M"
"20503","MACK, C. E.","1967","M"
"20504","WASSERMAN SCHULTZ, D. M.","1966","F"
"20505","PRICE, T. B.","1954","M"
"20506","WESTMORELAND, L. A.","1950","M"
"20507","BARROW, J. T.","1955","M"
"20508","LIPINSKI, D. W.","1966","M"
"20509","BEAN, M. L.","1962","F"
"20510","SODREL, M. E.","1945","M"
"20511","DAVIS, G. A.","1958","M"
"20512","JINDAL, B. J.","1971","M"
"20513","MELANCON, C. J.","1947","M"
"20514","BOUSTANY, C. W.","1956","M"
"20515","SCHWARZ, J. J.","1937","M"
"20516","CARNAHAN, R. L.","1958","M"
"20517","CLEAVER, E. D.","1944","M"
"20518","FORTENBERRY, J. L.","1960","M"
"20519","HIGGINS, B. M.","1959","M"
"20520","KUHL, J. R.","1943","M"
"20521","FOXX, V. J.","1943","F"
"20522","MCHENRY, P. T.","1975","M"
"20523","BOREN, D. W.","1973","M"
"20524","FITZPATRICK, M. G.","1963","M"
"20525","SCHWARTZ, A. Y.","1948","F"
"20526","DENT, C. W.","1960","M"
"20527","GOHMERT, L. B.","1953","M"
"20528","POE, T. E.","1948","M"
"20529","GREEN, A. B.","1947","M"
"20530","MCCAUL, M. T.","1962","M"
"20531","CONAWAY, K. M.","1948","M"
"20532","MARCHANT, K. E.","1951","M"
"20533","CUELLAR, H. A.","1955","M"
"20534","DRAKE, T. D.","1949","F"
"20535","MCMORRIS RODGERS, C. A.","1969","F"
"20536","REICHERT, D. G.","1950","M"
"20537","MOORE, G. W.","1951","F"
"20538","MATSUI, D. O.","1944","F"
"20539","CHRISTENSEN, D. M.","1945","F"
"20540","SCHMIDT, J. T.","1951","F"
"20541","SEKULA-GIBBS, S. C.","1953","F"
"20542","SIRES, A. C.","1951","M"
"20700","MITCHELL, H. E.","1940","M"
"20701","GIFFORDS, G. A.","1970","F"
"20702","MCNERNEY, J. B.","1951","M"
"20703","MCCARTHY, K. A.","1965","M"
"20704","LAMBORN, D. G.","1954","M"
"20705","PERLMUTTER, E. M.","1953","M"
"20706","COURTNEY, J. E.","1953","M"
"20707","MURPHY, C. S.","1973","M"
"20708","CASTOR, K. R.","1966","F"
"20709","BUCHANAN, V. W.","1951","M"
"20710","MAHONEY, T. V.","1956","M"
"20711","KLEIN, R. C.","1957","M"
"20712","JOHNSON, H. C.","1954","M"
"20713","HIRONO, M. K.","1947","F"
"20714","SALI, B. M.","1954","M"
"20715","ROSKAM, P. J.","1961","M"
"20716","HARE, P. L.","1949","M"
"20717","DONNELLY, J. A.","1955","M"
"20718","ELLSWORTH, B. J.","1958","M"
"20719","BRALEY, B. L.","1957","M"
"20720","LOEBSACK, D. W.","1952","M"
"20721","BOYDA, N. E.","1955","F"
"20723","YARMUTH, J. A.","1947","M"
"20724","SARBANES, J. P.","1962","M"
"20725","WALBERG, T. M.","1951","M"
"20726","WALZ, T. J.","1964","M"
"20727","ELLISON, K. M.","1963","M"
"20728","BACHMANN, M. M.","1956","F"
"20729","SMITH, A. K.","1970","M"
"20730","HELLER, D. J.","1960","M"
"20731","SHEA-PORTER, C. W.","1952","F"
"20732","HODES, P. W.","1951","M"
"20733","CLARKE, Y. D.","1964","F"
"20734","HALL, J. J.","1948","M"
"20735","GILLIBRAND, K. E.","1966","F"
"20736","ARCURI, M. A.","1959","M"
"20737","SHULER, H. T.","1971","M"
"20738","JORDAN, J. C.","1964","M"
"20739","WILSON, C. A.","1943","M"
"20740","SUTTON, B. A.","1963","F"
"20741","SPACE, Z. T.","1961","M"
"20742","FALLIN, M. R.","1954","F"
"20743","ALTMIRE, J. T.","1968","M"
"20744","SESTAK, J. H.","1951","M"
"20745","MURPHY, P. J.","1973","M"
"20746","CARNEY, C. P.","1959","M"
"20747","DAVIS, D. L.","1959","M"
"20748","COHEN, S. E.","1949","M"
"20749","FOSTER, B. E.","1955","M"
"20750","WELCH, P. M.","1947","M"
"20751","KAGEN, S. W.","1949","M"
"20752","RICHARDSON, L. R.","1962","F"
"20753","BROUN, P. C.","1946","M"
"20754","TSONGAS, N. S.","1946","F"
"20755","LATTA, R. E.","1956","M"
"20756","WITTMAN, R. J.","1959","M"
"20757","CARSON, A. M.","1974","M"
"20758","BILIRAKIS, G. M.","1963","M"
"20759","SCALISE, S. J.","1965","M"
"20760","CAZAYOUX, D. J.","1964","M"
"20761","CHILDERS, T. W.","1958","M"
"20762","SPEIER, J. C.","1950","F"
"20763","EDWARDS, D. F.","1958","F"
"20900","BRIGHT, B. C.","1952","M"
"20902","SAN NICOLAS, M. F.","1981","M"
"20903","MCCLINTOCK, T. T.","1956","M"
"20904","POLIS, J. E.","1975","M"
"20905","MARKEY, B. M.","1956","F"
"20906","COFFMAN, M. E.","1955","M"
"20907","HIMES, J. A.","1966","M"
"20908","GRAYSON, A. A.","1958","M"
"20909","POSEY, B. F.","1947","M"
"20910","ROONEY, T. J.","1970","M"
"20911","KOSMAS, S. M.","1944","F"
"20912","MINNICK, W. J.","1942","M"
"20913","HALVORSON, D. L.","1958","F"
"20914","SCHOCK, A. G.","1981","M"
"20915","JENKINS, L. V.","1963","F"
"20916","GUTHRIE, B. M.","1964","M"
"20917","CAO, A. E.","1967","M"
"20918","FLEMING, J. G.","1951","M"
"20919","CASSIDY, B. R.","1957","M"
"20920","PINGREE, C. C.","1955","F"
"20921","KRATOVIL, F. M.","1968","M"
"20922","SCHAUER, M. H.","1961","M"
"20923","PETERS, G. C.","1958","M"
"20924","PAULSEN, E. L.","1965","M"
"20925","HARPER, G. V.","1956","M"
"20926","LUETKEMEYER, B. G.","1952","M"
"20927","TITUS, D. E.","1950","F"
"20928","ADLER, J. H.","1959","M"
"20929","LANCE, L. R.","1952","M"
"20930","HEINRICH, M. M.","1971","M"
"20931","TEAGUE, H. O.","1949","M"
"20932","LUJÃ¡N, B. R.","1972","M"
"20933","MCMAHON, M. E.","1957","M"
"20934","TONKO, P. M.","1949","M"
"20935","MAFFEI, D. B.","1968","M"
"20936","LEE, C. J.","1964","M"
"20937","MASSA, E. J.","1959","M"
"20938","KISSELL, L. E.","1951","M"
"20939","DRIEHAUS, S. D.","1966","M"
"20940","AUSTRIA, S. T.","1958","M"
"20941","FUDGE, M. L.","1952","F"
"20942","KILROY, M. C.","1949","F"
"20943","BOCCIERI, J. A.","1969","M"
"20944","SCHRADER, K. J.","1951","M"
"20945","DAHLKEMPER, K. A.","1957","F"
"20946","THOMPSON, G. M.","1959","M"
"20947","ROE, D. P.","1945","M"
"20948","OLSON, P. E.","1962","M"
"20949","CHAFFETZ, J. B.","1967","M"
"20950","NYE, G. C.","1974","M"
"20951","PERRIELLO, T. S.","1974","M"
"20952","CONNOLLY, G. E.","1950","M"
"20953","LUMMIS, C. M.","1954","F"
"20954","QUIGLEY, M. C.","1958","M"
"20955","CHU, J. M.","1953","F"
"20956","MURPHY, S. E.","1970","M"
"20957","OWENS, W. L.","1949","M"
"20958","GARAMENDI, J. J.","1945","M"
"20959","DEUTCH, T. E.","1966","M"
"20960","CRITZ, M. S.","1962","M"
"20961","DJOU, C. G.","1970","M"
"20962","GRAVES, T. R.","1970","M"
"20963","HUNTER, D. D.","1976","M"
"21100","STUTZMAN, M. A.","1976","M"
"21101","REED, T. W.","1971","M"
"21102","SEWELL, T. A.","1965","F"
"21103","GOSAR, P. A.","1958","M"
"21104","QUAYLE, B. R.","1976","M"
"21105","SCHWEIKERT, D. E.","1962","M"
"21106","CRAWFORD, E. A.","1966","M"
"21107","GRIFFIN, T. F.","1968","M"
"21108","WOMACK, S. J.","1957","M"
"21109","DENHAM, J. A.","1967","M"
"21110","BASS, K. D.","1953","F"
"21111","TIPTON, S. R.","1956","M"
"21112","GARDNER, C. L.","1974","M"
"21113","CARNEY, J. C.","1956","M"
"21114","SOUTHERLAND, S. Y.","1965","M"
"21115","PIERLUISI, P. R.","1959","M"
"21116","WEBSTER, D. M.","1949","M"
"21117","ROSS, D. A.","1959","M"
"21118","WILSON, F. S.","1942","F"
"21119","WEST, A. A.","1961","M"
"21120","ADAMS, S. L.","1956","F"
"21121","RIVERA, D. R.","1965","M"
"21122","WOODALL, R. P.","1970","M"
"21123","SCOTT, A. E.","1969","M"
"21124","HANABUSA, C. W.","1951","F"
"21125","LABRADOR, R. R.","1967","M"
"21126","WALSH, J. A.","1961","M"
"21127","DOLD, B. W.","1969","M"
"21128","KINZINGER, A. J.","1978","M"
"21129","HULTGREN, R. V.","1966","M"
"21130","SCHILLING, R. T.","1964","M"
"21131","ROKITA, T. T.","1970","M"
"21132","BUCSHON, L. A.","1962","M"
"21133","YOUNG, T. C.","1972","M"
"21134","HUELSKAMP, T. M.","1968","M"
"21135","YODER, K. J.","1976","M"
"21136","POMPEO, M. W.","1963","M"
"21137","RICHMOND, C. L.","1973","M"
"21138","LANDRY, J. M.","1970","M"
"21139","HARRIS, A. M.","1957","M"
"21140","KEATING, W. R.","1952","M"
"21141","BENISHEK, D. M.","1952","M"
"21142","HUIZENGA, B. H.","1969","M"
"21143","AMASH, J. S.","1980","M"
"21145","CLARKE, H. L.","1957","M"
"21146","CRAVAACK, C. F.","1959","M"
"21147","NUNNELEE, A. G.","1958","M"
"21148","PALAZZO, S. M.","1970","M"
"21149","HARTZLER, V. B.","1960","F"
"21150","LONG, B. J.","1955","M"
"21151","HECK, J. J.","1961","M"
"21152","HARDY, C. W.","1957","M"
"21153","RUNYAN, J. J.","1973","M"
"21154","GRIMM, M. G.","1970","M"
"21155","HAYWORTH, N. A.","1959","F"
"21156","GIBSON, C. P.","1964","M"
"21157","HANNA, R. L.","1951","M"
"21158","BUERKLE, A. L.","1951","F"
"21159","ELLMERS, R. L.","1964","F"
"21160","BERG, R. F.","1959","M"
"21162","JOHNSON, B. A.","1954","M"
"21163","STIVERS, S. L.","1965","M"
"21164","RENACCI, J. B.","1958","M"
"21165","GIBBS, B. F.","1954","M"
"21166","LANKFORD, J. R.","1968","M"
"21167","KELLY, M. R.","1948","M"
"21168","MEEHAN, P. M.","1955","M"
"21170","MARINO, T. B.","1952","M"
"21171","BARLETTA, L. G.","1956","M"
"21172","CICILLINE, D. N.","1961","M"
"21173","SCOTT, T. C.","1965","M"
"21174","DUNCAN, J. C.","1966","M"
"21175","GOWDY, T. W.","1964","M"
"21176","MULVANEY, M. B.","1967","M"
"21177","NOEM, K. L.","1971","F"
"21178","FLEISCHMANN, C. J.","1962","M"
"21179","DESJARLAIS, S. L.","1964","M"
"21180","BORDALLO, M. Z.","1933","F"
"21181","FINCHER, S. L.","1973","M"
"21182","FLORES, B. L.","1954","M"
"21183","CANSECO, F. L.","1949","M"
"21184","FARENTHOLD, B. M.","1961","M"
"21185","RIGELL, E. S.","1960","M"
"21186","HURT, R. M.","1969","M"
"21187","HERRERA BEUTLER, J. B.","1978","F"
"21188","MCKINLEY, D. B.","1947","M"
"21189","DUFFY, S. P.","1971","M"
"21190","RIBBLE, R. J.","1956","M"
"21191","GRIFFITH, H. M.","1958","M"
"21192","ROBY, M. C.","1976","F"
"21193","BROOKS, M. P.","1954","M"
"21194","HOCHUL, K. C.","1958","F"
"21195","HAHN, J. A.","1952","F"
"21196","AMODEI, M. E.","1958","M"
"21197","TURNER, R. L.","1941","M"
"21198","BONAMICI, S. E.","1954","F"
"21199","BARBER, R. R.","1945","M"
"21300","SINEMA, K. P.","1976","F"
"21301","COTTON, T. E.","1977","M"
"21302","LAMALFA, D. E.","1960","M"
"21303","HUFFMAN, J. E.","1964","M"
"21304","BERA, A. E.","1965","M"
"21305","COOK, P. R.","1943","M"
"21306","SWALWELL, E. E.","1980","M"
"21307","WARNOCK, R. G.","1969","M"
"21308","BROWNLEY, J. E.","1952","F"
"21309","CÃ¡RDENAS, T. P.","1963","M"
"21310","NEGRETE MCLEOD, G. B.","1941","F"
"21311","RUIZ, R. E.","1972","M"
"21312","TAKANO, M. E.","1960","M"
"21313","LOWENTHAL, A. S.","1941","M"
"21314","VARGAS, J. E.","1961","M"
"21315","PETERS, S. H.","1958","M"
"21316","ESTY, E. H.","1959","F"
"21317","YOHO, T. S.","1955","M"
"21318","DESANTIS, R. S.","1978","M"
"21319","CLAWSON, C. W.","1959","M"
"21320","RADEL, T. L.","1976","M"
"21321","FRANKEL, L. H.","1948","F"
"21322","GARCIA, J. B.","1963","M"
"21323","COLLINS, D. S.","1966","M"
"21324","GABBARD, T. S.","1981","F"
"21325","DUCKWORTH, T. H.","1968","F"
"21326","SCHNEIDER, B. S.","1961","M"
"21327","ENYART, W. L.","1949","M"
"21328","DAVIS, R. S.","1970","M"
"21329","BUSTOS, C. S.","1961","F"
"21330","WALORSKI, J. W.","1963","F"
"21331","BROOKS, S. W.","1960","F"
"21332","MESSER, L. H.","1969","M"
"21333","BARR, G. H.","1973","M"
"21334","DELANEY, J. K.","1963","M"
"21335","KENNEDY, J. P.","1980","M"
"21336","BENTIVOLIO, K. L.","1951","M"
"21337","WAGNER, A. S.","1962","F"
"21338","DAINES, S. S.","1962","M"
"21339","HORSFORD, S. A.","1973","M"
"21340","KUSTER, A. M.","1956","F"
"21341","LUJAN GRISHAM, M. S.","1959","F"
"21342","MENG, G. S.","1975","F"
"21343","JEFFRIES, H. S.","1970","M"
"21344","MALONEY, S. P.","1966","M"
"21345","COLLINS, C. P.","1950","M"
"21346","HUDSON, R. S.","1971","M"
"21347","PITTENGER, R. M.","1948","M"
"21348","MEADOWS, M. D.","1959","M"
"21349","HOLDING, G. P.","1968","M"
"21350","CRAMER, K. S.","1961","M"
"21351","WENSTRUP, B. R.","1958","M"
"21352","BEATTY, J. S.","1950","F"
"21353","JOYCE, D. P.","1957","M"
"21354","BRIDENSTINE, J. M.","1975","M"
"21355","MULLIN, M. P.","1977","M"
"21356","PERRY, S. P.","1962","M"
"21357","ROTHFUS, K. J.","1962","M"
"21358","CARTWRIGHT, M. A.","1961","M"
"21359","RICE, T. P.","1957","M"
"21360","WEBER, R. K.","1953","M"
"21361","OÂ€™ROURKE, B. J.","1972","M"
"21362","CASTRO, J. K.","1974","M"
"21363","WALSH, J. E.","1960","M"
"21364","WILLIAMS, R. K.","1949","M"
"21365","VEASEY, M. A.","1971","M"
"21366","VELA, F. L.","1963","M"
"21367","SANTOS, G. A.","1988","M"
"21368","KILMER, D. A.","1974","M"
"21369","HECK, D. P.","1952","M"
"21370","POCAN, M. A.","1964","M"
"21371","KELLY, R. L.","1956","F"
"21372","KILDEE, D. T.","1958","M"
"21373","SMITH, J. T.","1980","M"
"21375","CLARK, K. M.","1963","F"
"21376","BYRNE, B. P.","1955","M"
"21500","PALMER, G. J.","1954","M"
"21501","MCSALLY, M. R.","1966","F"
"21502","GALLEGO, R. F.","1979","M"
"21503","HILL, J. F.","1956","M"
"21504","DESAULNIER, M. F.","1952","M"
"21505","KNIGHT, S. A.","1966","M"
"21506","AGUILAR, P. F.","1979","M"
"21507","LIEU, T. F.","1969","M"
"21508","TORRES, N. J.","1965","F"
"21509","WALTERS, M. A.","1962","F"
"21510","BUCK, K. M.","1959","M"
"21512","CURBELO, C. A.","1980","M"
"21513","CARTER, E. L.","1957","M"
"21514","HICE, J. B.","1960","M"
"21515","LOUDERMILK, B. L.","1963","M"
"21516","ALLEN, R. W.","1951","M"
"21519","BOST, M. W.","1960","M"
"21520","BLUM, R. A.","1955","M"
"21521","YOUNG, D. A.","1968","M"
"21522","ABRAHAM, R. P.","1954","M"
"21523","GRAVES, G. A.","1972","M"
"21524","POLIQUIN, B. A.","1953","M"
"21525","MOULTON, S. W.","1978","M"
"21526","MOOLENAAR, J. R.","1961","M"
"21527","BISHOP, M. A.","1967","M"
"21528","TROTT, D. A.","1960","M"
"21529","DINGELL, D. R.","1953","F"
"21530","LAWRENCE, B. L.","1954","F"
"21531","EMMER, T. R.","1961","M"
"21536","NORCROSS, D. W.","1958","M"
"21537","MACARTHUR, T. A.","1960","M"
"21538","WATSON COLEMAN, B. R.","1945","F"
"21539","ZELDIN, L. M.","1980","M"
"21540","RICE, K. M.","1965","F"
"21541","STEFANIK, E. M.","1984","F"
"21542","KATKO, J. M.","1962","M"
"21543","WALKER, M. P.","1969","M"
"21544","ROUZER, D. R.","1972","M"
"21545","ADAMS, A. S.","1946","F"
"21546","RUSSELL, S. A.","1963","M"
"21547","COSTELLO, R. A.","1976","M"
"21548","BOYLE, B. F.","1977","M"
"21549","RATCLIFFE, J. D.","1965","M"
"21550","HURD, W. P.","1977","M"
"21551","BABIN, B. F.","1948","M"
"21552","LOVE, M. A.","1975","F"
"21553","BRAT, D. A.","1964","M"
"21554","PLASKETT, S. E.","1966","F"
"21555","COMSTOCK, B. A.","1959","F"
"21556","NEWHOUSE, D. E.","1955","M"
"21557","MOONEY, A. X.","1971","M"
"21558","JENKINS, E. S.","1960","M"
"21559","RADEWAGEN, A. C.","1947","F"
"21560","DONOVAN, D. M.","1956","M"
"21561","KELLY, T. C.","1966","M"
"21562","LAHOOD, D. C.","1968","M"
"21563","WESTERMAN, B. F.","1967","M"
"21564","DAVIDSON, W. C.","1970","M"
"21565","COMER, J. C.","1972","M"
"21566","EVANS, D. C.","1954","M"
"21700","ARRINGTON, J. C.","1972","M"
"21701","BACON, D. J.","1963","M"
"21702","BANKS, J. J.","1979","M"
"21703","BARRAGÃ¡N, N. D.","1976","F"
"21704","BERGMAN, J. J.","1947","M"
"21705","BIGGS, A. S.","1958","M"
"21706","BLUNT ROCHESTER, L. L.","1962","F"
"21707","BROWN, A. G.","1961","M"
"21708","BUDD, T. J.","1971","M"
"21709","CARBAJAL, S. O.","1964","M"
"21710","CHENEY, L. G.","1966","F"
"21711","CORREA, J. L.","1958","M"
"21712","CRIST, C. W.","1956","M"
"21713","DEMINGS, V. B.","1957","F"
"21714","DUNN, N. P.","1953","M"
"21715","ESPAILLAT, A. J.","1954","M"
"21716","FASO, J. W.","1952","M"
"21717","GONZÃ¡LEZ-COLÃ³N, J. D.","1976","F"
"21718","FITZPATRICK, B. K.","1973","M"
"21719","HELMY, G. S.","1979","M"
"21720","GALLAGHER, M. M.","1984","M"
"21721","JONES, B. B.","1959","F"
"21722","GONZALEZ, V. K.","1967","M"
"21723","GOTTHEIMER, J. J.","1975","M"
"21724","HIGGINS, C. J.","1961","M"
"21725","HOLLINGSWORTH, T. B.","1983","M"
"21726","JAYAPAL, P. C.","1965","F"
"21727","JOHNSON, M. J.","1972","M"
"21728","KHANNA, R. S.","1976","M"
"21729","KIHUEN, R. W.","1980","M"
"21730","KRISHNAMOORTHI, R. J.","1973","M"
"21731","KUSTOFF, D. K.","1966","M"
"21732","LAWSON, A. M.","1948","M"
"21733","LEWIS, J. W.","1955","M"
"21734","MARSHALL, R. J.","1960","M"
"21735","MAST, B. J.","1980","M"
"21736","MCEACHIN, A. D.","1961","M"
